"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm142042",0.000174111534997762,0.631764438240111,0.397,0.228,1,"5","Gm14204"
"Syt91",0.000180579602814307,0.808369832434239,0.405,0.254,1,"5","Syt9"
"Atp5b1",0.000181710381836744,0.939602150301217,0.414,0.263,1,"5","Atp5b"
"Cabp11",0.00018562524840393,0.792317605758697,0.371,0.218,1,"5","Cabp1"
"Scn3a1",0.000200003964217087,0.421192205363937,0.784,0.674,1,"5","Scn3a"
"Aco21",0.000212214157340703,0.555506327196924,0.681,0.531,1,"5","Aco2"
"Mob4",0.000228014648586867,0.841642488173705,0.25,0.124,1,"5","Mob4"
"Stard91",0.000232994378794739,0.780055621299003,0.379,0.227,1,"5","Stard9"
"Mpc2",0.000249002106469437,0.838587547824389,0.284,0.151,1,"5","Mpc2"
"Arl151",0.00027494980325028,0.421635477566206,0.664,0.511,1,"5","Arl15"
"Mpped22",0.000281191248757867,0.543025848320403,0.569,0.4,1,"5","Mpped2"
"Lin52",0.000285816033713444,1.00679308005696,0.336,0.204,1,"5","Lin52"
"BC052040",0.000287503172174731,0.799951940498474,0.345,0.198,1,"5","BC052040"
"A330008L17Rik2",0.000287613187050088,0.690000113580613,0.483,0.333,1,"5","A330008L17Rik"
"Sulf21",0.000288778027495122,0.45553485994359,0.457,0.284,1,"5","Sulf2"
"Pkp41",0.000289280559171163,0.372332930557817,0.759,0.614,1,"5","Pkp4"
"E2f3",0.000292827556670409,0.962630689258733,0.267,0.143,1,"5","E2f3"
"Fat3",0.000297187128155952,0.577386164940027,0.819,0.749,1,"5","Fat3"
"Plppr51",0.000299971452650754,0.875373345486255,0.379,0.234,1,"5","Plppr5"
"Lrfn5",0.000300524665936404,0.272461538655195,0.983,0.926,1,"5","Lrfn5"
"Pcdh171",0.000303995784708146,0.49823245396594,0.69,0.518,1,"5","Pcdh17"
"Hectd2",0.000308414593054539,0.881799614645688,0.267,0.14,1,"5","Hectd2"
"Hipk2",0.000315762596061394,0.542524276194429,0.526,0.354,1,"5","Hipk2"
"Gpatch2l",0.000318867511797297,1.02113203579782,0.25,0.13,1,"5","Gpatch2l"
"Bmper1",0.00032202074204162,0.902759233281334,0.25,0.129,1,"5","Bmper"
"Capn7",0.000344111689844218,0.725737266585121,0.397,0.243,1,"5","Capn7"
"Dgkk1",0.000352579574577083,1.08182422295368,0.267,0.146,1,"5","Dgkk"
"Gabbr2",0.000365911907907575,0.477764397107431,0.793,0.688,1,"5","Gabbr2"
"Cdh7",0.000397894755388679,0.711874613203376,0.414,0.265,1,"5","Cdh7"
"Pi4ka",0.000400474860595903,0.378773606396756,0.897,0.849,1,"5","Pi4ka"
"Npas32",0.000412546288640209,0.571012077363526,0.56,0.393,1,"5","Npas3"
"Trappc121",0.000414919216865005,0.756410513805213,0.353,0.213,1,"5","Trappc12"
"Gm1673",0.00043221837723519,0.866849273179717,0.302,0.172,1,"5","Gm1673"
"Nae1",0.000432572468967838,0.74445682790677,0.353,0.211,1,"5","Nae1"
