"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"GO:0007416","synapse assembly","49/440","320/25730",0.153125,8.95433238636364,18.8859905703452,5.48825991658909e-32,2.19749927060227e-28,1.58292970225833e-28,"18183/54725/210933/192167/54216/18191/14804/14402/319387/13640/243548/13508/18189/320840/216028/12558/331461/20320/14401/15569/238205/243743/14083/320772/330222/234267/243499/242384/11820/12934/208922/330908/259302/223254/19211/65945/219228/56637/14406/70546/14405/14407/64085/67299/270190/140580/17257/19876/14394",49,"ADP_C_vs_ADP_N"
"GO:0050803","regulation of synapse structure or activity","47/440","424/25730",0.110849056603774,6.48215051457976,15.0136230790626,1.99652411097149e-24,3.99704127016493e-21,2.87919792845363e-21,"210933/192167/54216/14804/319387/13640/243548/18189/14803/320840/319613/216028/12558/12386/331461/347722/15569/238205/14812/14083/13131/320772/234267/243499/242384/18472/11820/12934/208922/20616/330908/259302/223254/19211/65945/333605/170571/327814/56637/16423/64085/270190/19122/140580/17257/19876/12540",47,"ADP_C_vs_ADP_N"
"GO:0050807","regulation of synapse organization","46/440","415/25730",0.110843373493976,6.48181818181818,14.8498848671315,6.36533403214329e-24,8.49559915490058e-21,6.11965447300794e-21,"210933/192167/54216/14804/319387/13640/243548/18189/14803/320840/216028/12558/12386/331461/347722/15569/238205/14812/14083/13131/320772/234267/243499/242384/18472/11820/12934/208922/20616/330908/259302/223254/19211/65945/333605/170571/327814/56637/16423/64085/270190/19122/140580/17257/19876/12540",46,"ADP_C_vs_ADP_N"
"GO:0060078","regulation of postsynaptic membrane potential","29/440","179/25730",0.162011173184358,9.47397155916709,15.0062764754903,4.81339354219954e-20,4.81820693574174e-17,3.47071008042809e-17,"192167/20238/14804/14402/14169/116837/18189/14400/14803/81907/50873/19055/320127/13483/15165/16508/383348/14401/14812/11820/14802/19211/14806/116838/56637/14406/14407/17257/14394",29,"ADP_C_vs_ADP_N"
"GO:0099003","vesicle-mediated transport in synapse","37/440","329/25730",0.112462006079027,6.57647140093949,13.4275073272314,1.20523563616407e-19,9.65152697440188e-17,6.95230661703064e-17,"192167/14169/116837/18189/74053/50873/20404/19055/12558/20614/96935/227801/218038/12298/11984/20965/229521/218503/16510/231760/11980/78808/20616/27062/68566/19211/238988/65945/327814/116838/219228/224671/207227/94090/26414/73094/11966",37,"ADP_C_vs_ADP_N"
"GO:0099173","postsynapse organization","35/440","328/25730",0.106707317073171,6.23995288248337,12.5977714450713,6.52187334255422e-18,4.35226347726451e-15,3.13507595764887e-15,"54725/23859/192167/54216/18191/14804/319387/243548/18189/14803/81907/20404/234214/12558/331461/14812/16001/243499/18472/11820/12934/208922/259302/223254/19211/333605/327814/18186/70546/13383/67299/270190/19122/140580/12540",35,"ADP_C_vs_ADP_N"
"GO:1901888","regulation of cell junction assembly","34/440","325/25730",0.104615384615385,6.11762237762238,12.2465481583385,3.62212813265441e-17,1.61144456034981e-14,1.16077556531849e-14,"210933/192167/54216/14804/319387/13640/243548/18189/320840/216028/331461/76707/15569/238205/14083/320772/243499/242384/11820/12934/208922/76499/330908/259302/223254/19211/50768/65945/56637/18186/64085/270190/140580/19876",34,"ADP_C_vs_ADP_N"
"GO:0007626","locomotory behavior","32/440","294/25730",0.108843537414966,6.36487322201608,12.2031541600006,9.98000778441495e-17,3.99599511687974e-14,2.87844435045231e-14,"268890/20238/319387/14169/11906/13508/320840/50873/20614/12805/14167/16508/11899/16531/12298/13131/18472/11820/12288/17978/11994/19211/209012/19156/224671/94229/15560/26414/76192/80912/17257/15572",32,"ADP_C_vs_ADP_N"
"GO:0007611","learning or memory","34/440","369/25730",0.0921409214092141,5.38814979058882,11.1988858268357,1.70499022998354e-15,6.2061644371401e-13,4.47050069871284e-13,"210933/20238/18191/14402/17967/238871/18189/50873/94109/320127/20614/18795/218038/432572/383348/20320/14812/229521/18472/11820/12288/208922/11980/19211/218461/209012/56637/224671/224938/15560/64085/19122/17257/15572",34,"ADP_C_vs_ADP_N"
"GO:0016358","dendrite development","31/440","334/25730",0.092814371257485,5.4275313010343,10.7427530245988,2.5549639496308e-14,8.52506304526811e-12,6.1408782649021e-12,"210933/192167/13508/74053/19055/93686/12386/331461/329152/19091/13131/330222/18472/11820/208922/13047/68166/223254/19211/209012/93691/327814/56637/18186/239985/17756/270190/17257/19876/15572/12540",31,"ADP_C_vs_ADP_N"
