"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Hspd1",0.876647767328918,0.154204421418799,0.139,0.139,1,"Not significant"
"Eif2b2",0.877121994586126,0.00399930308294394,0.035,0.036,1,"Not significant"
"Tpt1",0.87773871135973,0.0603953588948416,0.053,0.052,1,"Not significant"
"Uap1",0.878127751691002,0.0683067498808461,0.044,0.043,1,"Not significant"
"Ccnf",0.878361586928219,0.108860848231481,0.013,0.012,1,"Not significant"
"A830052D11Rik",0.878361586928219,0.108860848231481,0.013,0.012,1,"Not significant"
"Mcm10",0.878493586873218,0.0837698672686518,0.02,0.019,1,"Not significant"
"Cd151",0.878493586873218,0.0837698672686518,0.02,0.019,1,"Not significant"
"Gm37612",0.878493586873218,0.0837698672686518,0.02,0.019,1,"Not significant"
"Tbrg1",0.879419894346801,0.0250124808313572,0.067,0.069,1,"Not significant"
"Gm16310",0.880119540776196,-0.035529061103694,0.027,0.028,1,"Not significant"
"Rtn4rl1",0.88037125345875,0.0622461545827835,0.089,0.091,1,"Not significant"
"Tmem116",0.880659056027194,0.042473450897579,0.036,0.034,1,"Not significant"
"Nr2f2",0.880769546939025,0.113334324810789,0.04,0.042,1,"Not significant"
"Nek7",0.881213338435597,-0.0750574252903311,0.023,0.024,1,"Not significant"
"Ikzf5",0.881227676810902,-0.0188503199570631,0.027,0.028,1,"Not significant"
"Gcdh",0.881288502648945,0.0568349570449662,0.077,0.079,1,"Not significant"
"Dpp3",0.881566303306305,0.00711527630480058,0.094,0.096,1,"Not significant"
"9230114K14Rik",0.882742562433186,-0.0355290611036931,0.007,0.007,1,"Not significant"
"Eaf1",0.882742562433186,-0.0355290611036931,0.007,0.007,1,"Not significant"
"Slc38a1",0.882902812699511,0.157677704617216,0.438,0.461,1,"Not significant"
"Ppp2r5a",0.883272117634225,-0.0273551296579928,0.055,0.057,1,"Not significant"
"Bhlhe41",0.883362334956604,0.0150970119662741,0.027,0.028,1,"Not significant"
"Pdzrn3",0.883476792434828,-0.138622554067797,0.017,0.018,1,"Not significant"
