"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","log10_p"
"St3gal5",0.000147209080721971,-1.79520264138509,0.038,0.154,1,"Not significant",0
"Ap4s1",0.000147695849842105,-1.11728728719669,0.096,0.237,1,"Not significant",0
"Med12l",0.000148383230577646,-0.615003785686277,0.314,0.501,1,"Not significant",0
"Clcn3",0.000148407970784882,-0.648148763911771,0.16,0.328,1,"Not significant",0
"R3hdm1",0.000148435650909788,-0.385560069952452,0.41,0.67,1,"Not significant",0
"Tmem196",0.000148861412572027,-1.36521480064027,0.077,0.209,1,"Not significant",0
"Fam120a",0.00014968964706706,-0.642176164516143,0.173,0.349,1,"Not significant",0
"2610316D01Rik",0.000150582713099945,-2.21321170719522,0.019,0.123,1,"Not significant",0
"Nxn",0.000151077588751445,-1.71885175525497,0.032,0.145,1,"Not significant",0
"Cacna2d3",0.000151598934202283,-1.2827526404483,0.16,0.31,1,"Not significant",0
"Nmnat2",0.00015256822538319,-0.113606001604252,0.288,0.495,1,"Not significant",0
"Slc44a1",0.000152939553606821,-1.23342492808473,0.058,0.187,1,"Not significant",0
"Glmn",0.000152953769595781,-0.682277140355818,0.135,0.297,1,"Not significant",0
"Adar",0.000153190203192816,-0.520960295771139,0.301,0.51,1,"Not significant",0
"Gdap1",0.000155495486653466,-1.2705779265022,0.064,0.194,1,"Not significant",0
"Kdm2b",0.000155774178904254,-1.03047892945229,0.096,0.24,1,"Not significant",0
"Xpo7",0.000155947111664685,-0.523760739952094,0.154,0.33,1,"Not significant",0
"Appbp2",0.000156436127028361,-1.37586204483978,0.083,0.217,1,"Not significant",0
"Orc2",0.000156663057232926,-1.63067594386861,0.064,0.189,1,"Not significant",0
"Hnrnph3",0.000156784181518224,-0.863668308106753,0.122,0.277,1,"Not significant",0
"Plekha1",0.00015689310235687,-0.925682739440679,0.096,0.242,1,"Not significant",0
"Spcs2",0.000157429845139656,-2.00264472125556,0.019,0.123,1,"Not significant",0
"Amfr",0.000158444846902948,-1.66922098753037,0.045,0.163,1,"Not significant",0
"Clybl",0.000159963057926823,-2.76007441798149,0.013,0.11,1,"Not significant",0
"Atg10",0.000159985352883143,-2.15876392317285,0.026,0.132,1,"Not significant",0
"Agrn",0.000160165714806046,0.832086639733345,0.481,0.369,1,"Not significant",0
"Tusc3",0.000160305107441062,-1.06677505867528,0.109,0.253,1,"Not significant",0
"Gabpb1",0.000160873382789043,-2.67641648893458,0.013,0.11,1,"Not significant",0
"Clint1",0.000162269221125759,-1.09799259784304,0.115,0.262,1,"Not significant",0
"Rab27b",0.000162643225721101,-0.884949678585809,0.115,0.268,1,"Not significant",0
"Rnf169",0.000162806910595567,-0.830375779344952,0.154,0.316,1,"Not significant",0
"Nxph1",0.000162985204478702,-1.0978019542959,0.122,0.272,1,"Not significant",0
"Tex9",0.000164935232426093,-0.981886161088767,0.083,0.224,1,"Not significant",0
"Spopl",0.000165212105675926,-2.36521480064027,0.019,0.121,1,"Not significant",0
"Uhrf2",0.000166194043689594,-1.10218039480648,0.083,0.222,1,"Not significant",0
"Tm9sf2",0.00016628701554256,-1.51721789408532,0.058,0.182,1,"Not significant",0
"Sec62",0.000167267217430786,-0.858254811920389,0.147,0.301,1,"Not significant",0
"Mindy2",0.000167341621269902,-1.86366830810675,0.032,0.143,1,"Not significant",0
"Tbck",0.000168331728014272,-1.04676727448787,0.115,0.261,1,"Not significant",0
"Usp22",0.000168685448446419,-1.34368163909063,0.083,0.217,1,"Not significant",0
"Gm4924",0.000170357028585018,-0.754020758345936,0.154,0.317,1,"Not significant",0
"Kcnc2",0.00017075455025342,-0.611894593623764,0.333,0.532,1,"Not significant",0
"Rev1",0.000171140753109841,-0.674759171071802,0.231,0.411,1,"Not significant",0
"Ddhd1",0.000171751354620932,-0.88918667147228,0.173,0.332,1,"Not significant",0
"Rgs6",0.00017223504724593,-1.87242214384698,0.096,0.228,1,"Not significant",0
"Dis3l2",0.000172392166607969,-0.633098606135462,0.212,0.4,1,"Not significant",0
"Eml1",0.000172496543792769,-1.1401482450055,0.103,0.242,1,"Not significant",0
"Micu1",0.000173230317583221,-1.28839920358944,0.077,0.209,1,"Not significant",0
"Cnnm1",0.000173438792504591,-1.02716704038963,0.128,0.277,1,"Not significant",0
"Syt9",0.000176777688380949,-1.44321731264155,0.077,0.207,1,"Not significant",0
"Caml",0.000176795886008106,-2.00264472125556,0.032,0.141,1,"Not significant",0
"Shank1",0.000177197492990882,0.85950267364242,0.513,0.407,1,"Not significant",0
"Zfp934",0.000178153733219993,-1.70625171847534,0.051,0.171,1,"Not significant",0
"Ift81",0.000178917288946464,-0.76337848135472,0.192,0.363,1,"Not significant",0
"Zfc3h1",0.000178956187433773,0.982056142361553,0.436,0.325,1,"Not significant",0
"Psmd14",0.000181748007836356,-1.30679811441495,0.071,0.2,1,"Not significant",0
"Ptpn12",0.000181854004501959,-0.796193843788137,0.135,0.288,1,"Not significant",0
"Sergef",0.000183459531500537,-0.727010278642136,0.192,0.369,1,"Not significant",0
"Ppcdc",0.000184362573388188,-1.39692366036761,0.071,0.2,1,"Not significant",0
"Zfp74",0.000186198273811703,-2.00264472125556,0.019,0.121,1,"Not significant",0
"BC052040",0.000186945743923628,-2.21321170719522,0.026,0.13,1,"Not significant",0
"Mlh3",0.000186945743923628,-2.21321170719522,0.026,0.13,1,"Not significant",0
"A330102I10Rik",0.00018780257534616,-1.22676803067113,0.083,0.217,1,"Not significant",0
"Kcnab1",0.00018792202436207,-1.28773604796256,0.122,0.27,1,"Not significant",0
