"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2600014E21Rik",0.385256639130392,-0.467548753431727,0.005,0.007,1
"Pcgf2",0.38562101345107,0.0931770158886924,0.166,0.156,1
"Arrdc3",0.385692413750561,0.17104322527369,0.054,0.048,1
"Mapk8",0.385728356599139,0.0616597657664288,0.287,0.277,1
"Clpp",0.3858622409319,-0.0255850165618341,0.271,0.254,1
"Nkain3",0.385919103752719,0.054543141103771,0.57,0.562,1
"Gsr",0.385930881841838,0.16215435928677,0.122,0.114,1
"D130043K22Rik",0.386092157111973,0.0493656092409401,0.398,0.381,1
"Far2",0.386143567100978,0.0576676063548698,0.222,0.21,1
"Gm32856",0.386147081680669,0.158521305019018,0.049,0.043,1
"Phc2",0.386657496040348,-0.0529027482913701,0.632,0.627,1
"Arhgap15",0.38669573768208,0.186141796447574,0.015,0.012,1
"Actr1a",0.386882745353226,0.0893321842509833,0.216,0.206,1
"Ankra2",0.386898628771797,-0.0785178922818317,0.115,0.125,1
"Oip5os1",0.386918378665031,0.0952740463716397,0.131,0.122,1
"Pogk",0.386989645793524,0.108728019423208,0.113,0.104,1
"Dglucy",0.387003799090331,0.222733849626476,0.075,0.069,1
"Fbxw11",0.387046308980348,0.065925772419573,0.239,0.228,1
"Wdr46",0.387084451091185,-0.222392421336449,0.034,0.04,1
"Mrpl51",0.387187853424351,0.167859169598354,0.041,0.036,1
"Stox2",0.387254413411834,-0.08730287335857,0.635,0.637,1
"Ints7",0.387265764954557,-0.0456355448683636,0.139,0.15,1
"Rfc3",0.387358055890847,-0.0754568208641451,0.068,0.075,1
"Mrps33",0.387429607690315,0.0846919559841006,0.111,0.103,1
"Map7d2",0.387501072517655,-0.0688961485086407,0.526,0.531,1
"Atg4b",0.387509062845878,0.0369820870427606,0.187,0.175,1
"Sec23b",0.387509554918948,0.0469059990764022,0.138,0.128,1
"Ogdhl",0.387550157408965,0.0698001543553624,0.213,0.201,1
"Syndig1l",0.387573727828596,0.154106014531023,0.037,0.032,1
"Fam129c",0.387606084014427,0.244184803988375,0.03,0.026,1
"Hpgds",0.387609053548043,0.126091638361427,0.018,0.014,1
"Surf6",0.387712844862757,0.199434243605035,0.046,0.04,1
"Casc3",0.387712969289433,0.0842205685672119,0.315,0.304,1
"Csgalnact2",0.387734345313376,0.0978333783199141,0.086,0.079,1
"Tspan33",0.387834665336756,-0.00507422320075523,0.15,0.161,1
"Acp1",0.387992930279633,0.123060310430572,0.078,0.071,1
"Tmem198b",0.388105422738954,-0.178291026954323,0.027,0.032,1
"Surf1",0.38820475116737,0.175001238842374,0.05,0.044,1
"Rundc1",0.3883708661275,0.102262305962508,0.127,0.117,1
"Plaa",0.38837860021114,0.0978928574088254,0.214,0.203,1
"Sik3",0.38848347548365,0.0395248552331922,0.71,0.684,1
"Rragb",0.388590580027185,0.0726440727965147,0.324,0.31,1
"Gm11639",0.388695429159011,-0.113911798817026,0.01,0.008,1
"9030612E09Rik",0.388712956294583,0.252343327375539,0.027,0.023,1
"Kcnab2",0.388862436919406,-0.0710987152780529,0.176,0.187,1
"Notch2",0.388962006036949,-0.277206053027011,0.022,0.027,1
"Cbwd1",0.389094762410342,0.180703598206557,0.07,0.063,1
"Dhdh",0.389167709697102,-0.0962198940152903,0.057,0.063,1
"Itgb1bp1",0.389196284814236,0.201527533352562,0.038,0.033,1
"Qser1",0.389225433231502,0.0256050507647347,0.265,0.25,1
"Uqcr10",0.389226493075038,0.173135052628869,0.121,0.113,1
"Txndc11",0.389339997869389,0.0385129195425147,0.331,0.316,1
"Rmnd1",0.389443761725752,0.0319912387858952,0.284,0.27,1
"Wdr83",0.389562728529693,0.119110037950329,0.134,0.125,1
"BC031181",0.389622150626189,0.116341203533083,0.115,0.107,1
"Lnx1",0.389855642539338,0.12890482425292,0.206,0.196,1
"Glcci1",0.390141580587372,0.0909724642702794,0.164,0.154,1
"Gm13205",0.390289887049819,-0.249041073697679,0.028,0.033,1
"Gm40662",0.390305779090222,-0.49088125726235,0.01,0.013,1
"Diaph3",0.39050854351598,0.166879077820926,0.064,0.058,1
"Cc2d1a",0.390516331210857,0.0174599618558939,0.268,0.253,1
"Mettl5",0.390516530345037,0.245557709761345,0.052,0.046,1
"Itsn2",0.390664977001983,-0.0496402754320697,0.55,0.556,1
"Lig1",0.390681365755557,-0.0725368306682515,0.127,0.137,1
"Prpf40b",0.390708881749626,-0.0870200276299204,0.412,0.417,1
"Lmnb1",0.390735496997894,0.13600710722651,0.127,0.119,1
"Plscr3",0.390791472684746,0.136277807113014,0.054,0.048,1
"Cep19",0.390856770955316,0.0194742965376196,0.107,0.098,1
"Cep83",0.391146288674725,0.012040185149826,0.308,0.291,1
"Enox2",0.391158322854078,0.0434925473605074,0.214,0.202,1
"Ppp1cc",0.391214157817288,-0.00812856439043363,0.203,0.19,1
"Nsrp1",0.391217066436534,0.0658475627298625,0.135,0.125,1
"Npc2",0.391334726232284,-0.126606871665393,0.042,0.048,1
"Dach2",0.391402000842645,-0.0515338846683853,0.049,0.043,1
"Zfp692",0.391832496405027,-0.00288048642828187,0.424,0.401,1
"Sema4d",0.391901611361212,0.0151256144475296,0.35,0.333,1
"Stard5",0.391906057518102,0.127054183737434,0.09,0.083,1
"Slc52a2",0.392097589654546,-0.219076641800823,0.036,0.041,1
"Ndufs8",0.392219958939698,-0.219894728038163,0.028,0.033,1
"Cfap99",0.392356019371869,-0.282988405621016,0.013,0.017,1
"Aqp11",0.392356019371869,-0.282988405621016,0.013,0.017,1
