"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Ago1",0.18353555576381,0.743660246740215,0.163,0.087,1,0.73627978876234,"Not significant",NA
"Sorcs1",0.183554674680864,-0.429876008254477,0.256,0.381,1,0.73623455061926,"Not significant",NA
"Pacs2",0.184408155757964,-0.827496454455911,0.186,0.278,1,0.734219875460519,"Not significant",NA
"Anln",0.184732042278623,-0.428806949264551,0.233,0.341,1,0.73345776845874,"Not significant",NA
"Tmx3",0.184862533939397,0.773407590134267,0.14,0.071,1,0.733151098316859,"Not significant",NA
"Supt5",0.185073629893115,0.840521785992804,0.209,0.127,1,0.732655457031873,"Not significant",NA
"Clip2",0.185591418729935,-0.671377252538629,0.116,0.206,1,0.731442108313248,"Not significant",NA
"Ppp6r2",0.186048351965363,0.762519273991531,0.209,0.127,1,0.73037417264873,"Not significant",NA
"Mccc1",0.186104226151099,-0.696912344645767,0.047,0.119,1,0.730243764573357,"Not significant",NA
"A330015K06Rik",0.18620361004206,-0.8182186408679,0.209,0.302,1,0.730011903343142,"Not significant",NA
"Exoc4",0.186570690561644,-0.738491448397166,0.163,0.254,1,0.729156580992105,"Not significant",NA
"Rbbp6",0.186697885230709,0.898938472218126,0.233,0.151,1,0.728860601375159,"Not significant",NA
"Phf20l1",0.186831050243079,0.513540463379156,0.349,0.246,1,0.728550944869263,"Not significant",NA
"Fam133b",0.187319573733653,0.633477328989792,0.326,0.222,1,0.72741683917382,"Not significant",NA
"Stk39",0.187496135813932,-0.770912926089544,0.14,0.23,1,0.727007678400154,"Not significant",NA
"Mon2",0.187786846942696,-0.73438705006443,0.163,0.254,1,0.726334830069133,"Not significant",NA
"Pik3r1",0.187786846942696,-0.73438705006443,0.163,0.254,1,0.726334830069133,"Not significant",NA
"Dync1li2",0.18875176414063,-0.381870635343644,0.163,0.262,1,0.724108980610242,"Not significant",NA
"Mpv17",0.190159191073513,0.966052668076662,0.116,0.056,1,0.720882678740208,"Not significant",NA
"Klhl5",0.190159191073513,0.966052668076662,0.116,0.056,1,0.720882678740208,"Not significant",NA
"Gnai2",0.190159191073513,0.966052668076662,0.116,0.056,1,0.720882678740208,"Not significant",NA
"R3hdm4",0.190159191073513,0.966052668076662,0.116,0.056,1,0.720882678740208,"Not significant",NA
"Sec24a",0.190159191073513,0.966052668076662,0.116,0.056,1,0.720882678740208,"Not significant",NA
"Rsl1d1",0.190159191073513,0.966052668076662,0.116,0.056,1,0.720882678740208,"Not significant",NA
"Ldb3",0.191433561619501,-0.827496454455911,0.093,0.175,1,0.717981920538285,"Not significant",NA
"Gal3st1",0.191435675656302,-0.881944238478288,0.093,0.175,1,0.717977124569177,"Not significant",NA
"Zfp771",0.191704081504239,-0.448984831202182,0.047,0.119,1,0.717368640612291,"Not significant",NA
"Bicc1",0.191704081504239,-0.448984831202182,0.047,0.119,1,0.717368640612291,"Not significant",NA
"Ntrk3",0.192223441162455,0.328622747461371,0.256,0.151,1,0.716193652324376,"Not significant",NA
"Atp2a2",0.192351595427984,0.773407590134267,0.14,0.071,1,0.715904207159628,"Not significant",NA
"Ik",0.192351595427984,0.773407590134267,0.14,0.071,1,0.715904207159628,"Not significant",NA
"Bcan",0.19235273338181,0.551015168797819,0.14,0.071,1,0.715901637877038,"Not significant",NA
"Smarca4",0.192575429000266,0.743660246740215,0.256,0.167,1,0.715399125987903,"Not significant",NA
"Grik1",0.192888317642142,-1.40318114158906,0.07,0.143,1,0.714694074778054,"Not significant",NA
"Clasp2",0.193206461278973,-0.294262236403539,0.698,0.714,1,0.713978353847637,"Not significant",NA
"Baz2b",0.193588087819191,-0.102988976352989,0.326,0.5,1,0.713121369928236,"Not significant",NA
"Rrbp1",0.195169918501913,0.618129364656355,0.209,0.127,1,0.709587119227565,"Not significant",NA
"E130307A14Rik",0.195424615331356,-0.403181141589057,0.116,0.214,1,0.709020734223775,"Not significant",NA
"5330434G04Rik",0.196037651707611,-1.14942454934327,0.07,0.143,1,0.707660508447383,"Not significant",NA
"Pkm",0.19623394555498,0.83480813479841,0.233,0.151,1,0.707225863969147,"Not significant",NA
