"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Dtd1",9.58958325286514e-13,-0.401205810063417,0.28,0.43,1.69198606913552e-08,"Down"
"Derl1",9.64039730693927e-13,-1.93181155714623,0.019,0.077,1.70095170083636e-08,"Down"
"Slc8a1",9.67121185116126e-13,-0.450164789031639,0.528,0.687,1.70638861901889e-08,"Down"
"Phyhipl",9.6911812904755e-13,-0.966911845070279,0.079,0.169,1.7099120268915e-08,"Down"
"Zfp30",9.69271599886202e-13,-0.852682094257154,0.075,0.166,1.71018281083921e-08,"Down"
"Nup107",9.79234638753599e-13,-2.00125205564408,0.018,0.075,1.72776159661685e-08,"Down"
"Zic1",9.80925336030123e-13,-1.03277749473156,0.054,0.134,1.73074466289155e-08,"Down"
"Med6",9.81371520400623e-13,-1.53021632077946,0.033,0.101,1.73153191059486e-08,"Down"
"D330023K18Rik",9.83870132435938e-13,-0.943348712985485,0.08,0.172,1.73594046166997e-08,"Down"
"Epb41l1",1.00382604775661e-12,0.403577887307318,0.755,0.729,1.77115067866177e-08,"Up"
"Slc39a9",1.00528976773255e-12,-1.59611718375292,0.03,0.096,1.7737332661873e-08,"Down"
"Abcb8",1.02963339686254e-12,-0.928135899002833,0.077,0.167,1.81668516542427e-08,"Down"
"Trmt13",1.03030548847494e-12,-0.779534421523343,0.084,0.179,1.81787100386519e-08,"Down"
"Gm2164",1.04763364363412e-12,-0.980484548670003,0.086,0.179,1.84844480082804e-08,"Down"
"Snph",1.04993992379896e-12,-0.474597763758752,0.263,0.406,1.85251400155088e-08,"Down"
"Nae1",1.05225332804507e-12,-0.982458541415998,0.075,0.163,1.85659577200273e-08,"Down"
"Kctd3",1.06913510630674e-12,-1.06599362683174,0.061,0.144,1.88638198156762e-08,"Down"
"Psmc2",1.082911773765e-12,-1.63433650598341,0.032,0.098,1.91068953363096e-08,"Down"
"Cntn4",1.08617857564899e-12,-0.807994372954879,0.333,0.455,1.91645347887508e-08,"Down"
"Fancc",1.09241198265113e-12,-0.975716963536942,0.067,0.153,1.92745170218965e-08,"Down"
