"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Khdrbs21",3.63463912505153e-05,0.439593035359691,0.635,0.506,0.637406663360286,"5","Khdrbs2"
"Dlg11",3.64535443552752e-05,0.594325520440711,0.459,0.342,0.639285807358461,"5","Dlg1"
"Rtn11",4.07057332875405e-05,0.345219390614731,0.779,0.714,0.713856444663599,"5","Rtn1"
"Cfap441",4.32981014584256e-05,0.775326929772084,0.275,0.174,0.75931880527641,"5","Cfap44"
"Sidt1",4.79748759584617e-05,0.731548688775551,0.357,0.251,0.841335399683543,"5","Sidt1"
"Dscaml11",5.87311192142661e-05,0.423499089980406,0.619,0.5,1,"5","Dscaml1"
"Exoc41",5.99969827646264e-05,0.49636628303813,0.57,0.464,1,"5","Exoc4"
"Atad2b",6.79674207965682e-05,0.474157395051519,0.467,0.341,1,"5","Atad2b"
"Rora1",7.18017940737841e-05,0.327309228127772,0.844,0.773,1,"5","Rora"
"Map2k42",7.38540508908725e-05,0.56977801859905,0.426,0.317,1,"5","Map2k4"
"Trim21",7.67134808000055e-05,0.347894977486657,0.779,0.687,1,"5","Trim2"
"Tmem150c1",8.22375888987678e-05,0.870400521044079,0.275,0.176,1,"5","Tmem150c"
"Schip1",9.26522692363269e-05,0.373531719915811,0.594,0.477,1,"5","Schip1"
"Stxbp5l1",0.000104902204076176,0.477245576839089,0.545,0.436,1,"5","Stxbp5l"
"Ptprt",0.000115838493132502,0.382881101934195,0.602,0.483,1,"5","Ptprt"
"Cep350",0.000117031288940697,0.455756180247268,0.574,0.464,1,"5","Cep350"
"Mical21",0.000123202798242837,0.579847170125661,0.365,0.261,1,"5","Mical2"
"Bsn",0.000131458268779578,0.48563917188493,0.488,0.37,1,"5","Bsn"
"Cmip",0.000144478893092695,0.335975973149816,0.811,0.734,1,"5","Cmip"
"Eif2ak4",0.000151017423625113,0.709237739314311,0.348,0.25,1,"5","Eif2ak4"
"Eda2",0.000160986639075449,0.629721607525185,0.275,0.177,1,"5","Eda"
"Rbfox12",0.000183988564635738,0.306904030164648,0.951,0.893,1,"5","Rbfox1"
"Cep112it",0.000184757595325362,0.634666522834966,0.258,0.165,1,"5","Cep112it"
"2210408F21Rik2",0.0001863743920273,0.507355034445642,0.43,0.322,1,"5","2210408F21Rik"
