"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Jarid2",0.391748807794376,-0.339850002884625,0.111,0.25,1,0.406992316541852,"Not significant",NA
"Ralbp1",0.391748807794376,-0.339850002884625,0.111,0.25,1,0.406992316541852,"Not significant",NA
"Stard9",0.394840871612168,0.356143810225275,0.556,0.375,1,0.403577898056871,"Not significant",NA
"Gabbr2",0.395632132884216,0.567040592723894,0.444,0.25,1,0.402708442637104,"Not significant",NA
"Sergef",0.395632132884216,0.567040592723894,0.444,0.25,1,0.402708442637104,"Not significant",NA
"Zswim8",0.395632132884216,0.567040592723894,0.444,0.25,1,0.402708442637104,"Not significant",NA
"Gpc6",0.395992530914561,-0.257387842692652,0.444,0.656,1,0.402313005521918,"Not significant",NA
"Nf1",0.396130355019771,0.77944892548772,0.667,0.594,1,0.402161876827033,"Not significant",NA
"Gabra2",0.397541838994459,1.56704059272389,0.222,0.125,1,0.400617157603182,"Not significant",NA
"Naaladl2",0.397882154811925,-0.977279923499917,0.333,0.406,1,0.400245538713637,"Not significant",NA
"Fnbp1",0.398174115553217,-0.672425341971496,0.222,0.344,1,0.399926975945447,"Not significant",NA
"5730522E02Rik",0.401153121331995,0.129635280416595,0.111,0.281,1,0.396689824246759,"Not significant",NA
"Rab40c",0.401589826593821,1.09310940439148,0.333,0.219,1,0.396217297631286,"Not significant",NA
"Nalcn",0.402573169261542,0.508146903670325,0.778,0.719,1,0.395155173386648,"Not significant",NA
"Sorcs3",0.403724517576412,0.306513042500675,0.667,0.406,1,0.393914875744937,"Not significant",NA
"Abhd12",0.405292426462198,-0.257387842692652,0.222,0.406,1,0.392231511670118,"Not significant",NA
"E130308A19Rik",0.405433025725634,0.660149997115375,0.333,0.188,1,0.392080877482633,"Not significant",NA
"Hexa",0.405433025725634,0.830074998557688,0.333,0.188,1,0.392080877482633,"Not significant",NA
"Crppa",0.405433025725634,0.830074998557688,0.333,0.188,1,0.392080877482633,"Not significant",NA
"Hnrnpm",0.405433025725634,0.830074998557688,0.333,0.188,1,0.392080877482633,"Not significant",NA
"Rcan2",0.405433025725634,0.830074998557688,0.333,0.188,1,0.392080877482633,"Not significant",NA
"Kcnma1",0.405503029016309,0.637429920615292,0.667,0.656,1,0.392005897358731,"Not significant",NA
"Ip6k1",0.40819270226546,0.714597781137752,0.444,0.281,1,0.389134763936881,"Not significant",NA
"Ap3d1",0.40819270226546,0.714597781137752,0.444,0.281,1,0.389134763936881,"Not significant",NA
"Safb2",0.40819270226546,0.714597781137752,0.444,0.281,1,0.389134763936881,"Not significant",NA
"Wdfy3",0.409753929014182,-0.562242424221073,0.222,0.375,1,0.387476873410916,"Not significant",NA
"Kazn",0.410739165122255,0.0931094043914811,0.111,0.281,1,0.386433883984635,"Not significant",NA
"Limd1",0.410739165122255,0.508146903670325,0.111,0.281,1,0.386433883984635,"Not significant",NA
"Galnt17",0.410739165122255,1.41503749927884,0.333,0.219,1,0.386433883984635,"Not significant",NA
"Sfxn1",0.410739165122255,1.15200309344505,0.333,0.219,1,0.386433883984635,"Not significant",NA
"Hdac4",0.414409712705044,0.692571474807753,0.444,0.281,1,0.382570074390302,"Not significant",NA
"Fus",0.414409712705044,0.692571474807753,0.444,0.281,1,0.382570074390302,"Not significant",NA
"Arhgef28",0.414409712705044,0.692571474807753,0.444,0.281,1,0.382570074390302,"Not significant",NA
"Cadm1",0.414573872641677,-0.562242424221073,0.556,0.562,1,0.382398071574271,"Not significant",NA
"Tmem234",0.414813185548843,0.830074998557688,0.444,0.312,1,0.382147447268313,"Not significant",NA
"Tnrc18",0.414813185548843,0.830074998557688,0.444,0.312,1,0.382147447268313,"Not significant",NA
"Thsd7b",0.415977355259409,1.1926450779424,0.444,0.344,1,0.380930310607777,"Not significant",NA
"Rims1",0.416912540436624,-0.442943495848729,0.333,0.5,1,0.379955041404007,"Not significant",NA
"Nol4",0.418710536126056,-0.705977901682522,0.444,0.5,1,0.378086110702189,"Not significant",NA
"Braf",0.419180456929019,-0.584962500721156,0.222,0.344,1,0.377598973270835,"Not significant",NA
"Syn2",0.419180456929019,-0.584962500721156,0.222,0.344,1,0.377598973270835,"Not significant",NA
"Leng8",0.41923814182168,0.660149997115375,0.556,0.438,1,0.377539212596038,"Not significant",NA
"Mpzl1",0.420240987786811,0.692571474807753,0.333,0.188,1,0.376501591383853,"Not significant",NA
"Arid1b",0.420683199643919,0.637429920615292,0.556,0.406,1,0.37604483157138,"Not significant",NA
"Pcdh11x",0.42237704779029,-0.754887502163469,0.444,0.5,1,0.374299689642932,"Not significant",NA
"Grid2",0.422541223357553,-0.267535798068735,1,0.969,1,0.374130914635317,"Not significant",NA
"Grik2",0.423330040550265,0.379413589548123,0.778,0.625,1,0.373320911818221,"Not significant",NA
"Sulf2",0.424002787607532,-0.548436624696042,0.556,0.656,1,0.372631288127576,"Not significant",NA
"Enpp2",0.424596311182994,-0.491853096329675,0.444,0.562,1,0.372023783226614,"Not significant",NA
"Ldb2",0.425288031532503,-1.07681559705083,0.111,0.219,1,0.371316839041276,"Not significant",NA
"Smap1",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Fbn1",0.426119990640849,1.83007499855769,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Dnajc5",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"D930016D06Rik",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Rdx",0.426119990640849,1.83007499855769,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Zfp354c",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Slf1",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Tef",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Cep97",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Map3k4",0.426119990640849,2.09310940439148,0.222,0.125,1,0.370468091189453,"Not significant",NA
"L1cam",0.426119990640849,1.50814690367033,0.222,0.125,1,0.370468091189453,"Not significant",NA
"Cdh13",0.426516877506626,0.649502752915867,0.667,0.688,1,0.370063778885739,"Not significant",NA
"Amz1",0.426707929538876,-0.0179219079972623,0.222,0.406,1,0.369869286545469,"Not significant",NA
"Cuedc1",0.430614526159754,-0.491853096329675,0.333,0.438,1,0.365911323967671,"Not significant",NA
"Gnaq",0.430614526159754,-0.491853096329675,0.333,0.438,1,0.365911323967671,"Not significant",NA
"Dmd",0.430898919758011,-0.330389673635558,0.778,0.875,1,0.365624594664761,"Not significant",NA
"Itpr2",0.436187415948465,0.9369902024742,0.667,0.531,1,0.360326868016779,"Not significant",NA
"Dtna",0.436187415948465,-0.491853096329675,0.556,0.656,1,0.360326868016779,"Not significant",NA
"Ptpro",0.436437214905949,1.24511249783653,0.333,0.219,1,0.360078224309168,"Not significant",NA
"Srrm3",0.437320434598627,0.830074998557687,0.444,0.344,1,0.359200228975567,"Not significant",NA
"Eea1",0.437998803937932,0.955605880641546,0.333,0.219,1,0.358527075440798,"Not significant",NA
"Acsl3",0.438174963997272,-0.754887502163469,0.111,0.219,1,0.358352440350058,"Not significant",NA
"Pex5l",0.438425720717517,-0.870364719583405,0.111,0.219,1,0.358103975422362,"Not significant",NA
"Nsd3",0.440510168575276,-0.491853096329675,0.222,0.344,1,0.35604406204158,"Not significant",NA
"Fry",0.440653545780255,0.32418406882773,1,0.781,1,0.355902730916642,"Not significant",NA
"Ptpn11",0.441723378261001,1.56704059272389,0.222,0.125,1,0.354849615047543,"Not significant",NA
