"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_p","sig","gene_label"
"Agap2",6.2589631737991e-09,0.843311718852747,0.325,0.251,0.000110433146238511,8.20349760372117,"Up",NA
"Lynx1",6.26017429207617e-09,-0.901223237312808,0.053,0.115,0.000110454515209392,8.20341357525072,"Down",NA
"Caml",6.26893300935034e-09,-0.709862618965004,0.084,0.158,0.000110609054016977,8.20280637106468,"Down",NA
"Rsbn1",6.38314320519862e-09,-0.474228362901302,0.153,0.248,0.000112624178712524,8.19496541210632,"Down",NA
"B230307C23Rik",6.51423569079616e-09,-0.444152665557295,0.134,0.224,0.000114937174528407,8.18613653232926,"Down",NA
"Thoc2",6.69678693224349e-09,-0.215387376305226,0.406,0.571,0.000118158108632504,8.17413351853776,"Not significant",NA
"Klhdc10",6.75354280206729e-09,-0.192865598851784,0.351,0.504,0.000119159509199675,8.17046834335416,"Not significant",NA
"Comt",6.81714454876288e-09,-0.500280970429297,0.159,0.253,0.000120281698418372,8.16639749724923,"Down",NA
"Tm9sf4",6.8405730260394e-09,-0.329719620318592,0.222,0.334,0.000120695070471439,8.16490751646363,"Down",NA
"Jam3",6.85681503164083e-09,-0.567567493770706,0.111,0.194,0.000120981644418271,8.16387756583595,"Down",NA
"Rasa3",6.93841018335590e-09,-0.508626195376105,0.137,0.227,0.000122421309275131,8.15874002921257,"Down",NA
"Dsel",6.99342971296883e-09,-0.845085690646624,0.052,0.113,0.000123392073855622,8.15530978561111,"Down",NA
"Grm3",7.02381527581087e-09,-0.699194217754906,0.125,0.211,0.000123928196726407,8.15342691876354,"Down",NA
"Ctnnbip1",7.08776857400702e-09,-0.554237053146555,0.092,0.169,0.00012505658871978,8.14949047123847,"Down",NA
"Smad2",7.13206230151737e-09,-0.802374397881454,0.059,0.123,0.000125838107247972,8.14678487173799,"Down",NA
"Nt5dc1",7.19615804915218e-09,-1.19516210082305,0.046,0.103,0.000126969012619241,8.14289930681608,"Down",NA
"Abat",7.24714437206596e-09,-0.290825689215381,0.29,0.416,0.000127868615300732,8.13983308691312,"Down",NA
"Brap",7.33230794158518e-09,-0.747495463398297,0.073,0.143,0.000129371241321329,8.13475930386765,"Down",NA
"Bbs1",7.42370088317156e-09,-0.943569528022402,0.058,0.121,0.000130983778382679,8.12937953509268,"Down",NA
"Zfp384",7.43638699181987e-09,-0.644836918465229,0.086,0.161,0.00013120761208367,8.12863801749634,"Down",NA
"Jkamp",7.53648392399526e-09,-0.663820021832802,0.089,0.164,0.000132973722354972,8.12283122290451,"Down",NA
"Thbs3",7.5512526871323e-09,-0.784104595045149,0.066,0.133,0.000133234302411762,8.12198099671766,"Down",NA
"Pde4d",7.58305073454453e-09,-0.336667856398275,0.857,0.86,0.000133795347160304,8.12015603834826,"Down",NA
"Ing4",7.60653437694916e-09,-0.463446813738926,0.103,0.185,0.000134209692546891,8.1188131676428,"Down",NA
"Kansl2",7.63595607135374e-09,-0.735177195490235,0.077,0.148,0.000134728808922965,8.11713657870995,"Down",NA
"Fbxl6",7.66310810182195e-09,-1.18139198992846,0.044,0.101,0.000135207879348547,8.11559504790102,"Down",NA
"Rnf115",7.68337888190456e-09,-0.923843123178393,0.056,0.119,0.000135565536992324,8.11444775040382,"Down",NA
"Trappc12",7.79788613399924e-09,-0.635371066831534,0.092,0.168,0.000137585902948283,8.10802311074035,"Down",NA
"Rassf8",7.80030724413765e-09,-0.884398614671449,0.051,0.112,0.000137628621015565,8.10788829066777,"Down",NA
"B3gnt2",7.82983790824152e-09,-0.970497156689782,0.051,0.111,0.000138149660053013,8.10624722852761,"Down",NA
"Stard3nl",7.89214078503514e-09,-0.826241297392385,0.049,0.11,0.00013924893201116,8.1028051761291,"Down",NA
"Stard7",7.91827743218695e-09,-0.615045167374648,0.09,0.166,0.000139710087013507,8.10136928596887,"Down",NA
"Clptm1",7.94989635352085e-09,-0.4902901363667,0.123,0.209,0.000140267971261522,8.09963853340484,"Down",NA
"Cox18",7.9975578143018e-09,-0.875655430661493,0.063,0.129,0.000141108910075541,8.09704261172007,"Down",NA
"Gabbr2",8.13633889431416e-09,-0.225239384934402,0.405,0.559,0.000143557563451279,8.08957097050009,"Not significant",NA
"Slc38a6",8.20540288944878e-09,-0.39275326476605,0.168,0.267,0.000144776128581434,8.08590009000775,"Down",NA
"Pcp4",8.23481376668785e-09,-0.821716623550689,0.064,0.13,0.000145295054099441,8.08434621811103,"Down",NA
"Gria4",8.24999252626813e-09,-0.248546247338193,0.903,0.904,0.000145562868133475,8.08354644488062,"Not significant",NA
"Nrg2",8.32374505752554e-09,-0.29779070428187,0.269,0.393,0.000146864157794981,8.07968122997476,"Down",NA
"Kpna6",8.3582435613184e-09,-0.634913699446153,0.085,0.159,0.000147472849395902,8.07788497755763,"Down",NA
"Sec22a",8.39785981145069e-09,-0.578831774815588,0.093,0.17,0.000148171838513236,8.0758313794744,"Down",NA
"Chordc1",8.48467019007891e-09,-0.476100590319687,0.134,0.223,0.000149703520833752,8.07136503459706,"Down",NA
"Caprin2",8.54293775096619e-09,-0.525750373167314,0.117,0.2,0.000150731593678048,8.06839275815891,"Down",NA
"Gls2",8.54921418695687e-09,-0.77789326342222,0.08,0.152,0.000150842335114667,8.06807380222531,"Down",NA
"Sgsm1",8.61138629138919e-09,0.471330930644522,0.604,0.6,0.000151939299725271,8.06492692865816,"Up",NA
"Klhl1",8.70296265854666e-09,-0.547655825251489,0.184,0.278,0.000153555073147397,8.06033287988362,"Down",NA
"Zw10",8.70800569024781e-09,-0.841834712020161,0.046,0.104,0.000153644052398732,8.06008129584105,"Down",NA
"Atp9a",8.89637621480891e-09,-0.253362945202384,0.385,0.535,0.000156967661934088,8.05078685969179,"Down",NA
"B4galt5",8.96404884886245e-09,-0.640642395065096,0.111,0.191,0.000158161677889329,8.04749578547772,"Down",NA
"Rgl1",8.99966947956705e-09,-0.402483755397893,0.21,0.315,0.000158790168297481,8.04577344009801,"Down",NA
"Mapk14",9.01112526195569e-09,-0.332921008421758,0.217,0.33,0.000158992294121946,8.0452209732225,"Down",NA
"Setd3",9.04470404950887e-09,-0.600783946272381,0.103,0.183,0.000159584758249535,8.04360563906044,"Down",NA
"Gm7072",9.18356511792701e-09,-0.884743303489452,0.052,0.113,0.000162034822940704,8.03698869020703,"Down",NA
"Eif2ak3",9.24826965116616e-09,-0.941865221810154,0.044,0.102,0.000163176469725176,8.03393951604441,"Down",NA
"Zc3h12c",9.28400314003326e-09,-0.896816135790027,0.063,0.128,0.000163806951402747,8.03226472132912,"Down",NA
"Inpp5f",9.32350075556116e-09,-0.39421345670554,0.162,0.258,0.000164503847331121,8.03042098964629,"Down",NA
"Simc1",9.52233652214748e-09,-0.30269828615059,0.227,0.339,0.00016801210559677,8.02125647449676,"Down",NA
"Heatr5a",9.57645839545944e-09,-0.945969620142891,0.058,0.12,0.000168967031929486,8.01879507376979,"Down",NA
"Rcan1",9.6818028934953e-09,-0.615515330338199,0.1,0.179,0.000170825730252831,8.01404376316783,"Down",NA
"Mrnip",9.75552128455462e-09,-0.63998306912455,0.082,0.154,0.000172126417544682,8.01074951920059,"Down",NA
"Poglut1",9.77394905200003e-09,-0.698876758178118,0.086,0.159,0.000172451557073488,8.00992992911928,"Down",NA
"Pex1",9.79197293773603e-09,-0.423390611298068,0.155,0.249,0.000172769570513415,8.00912979546487,"Down",NA
"Ift140",9.90847734391865e-09,-0.57677515044693,0.108,0.189,0.000174825174256101,8.00399307931307,"Down",NA
"Slc6a17",9.92069441059305e-09,-0.325517290149145,0.211,0.321,0.000175040732180504,8.00345792783233,"Down",NA
"Capzb",9.95455381783117e-09,-0.539339992047661,0.139,0.226,0.000175638147561813,8.00197820111085,"Down",NA
"Fhl1",1.00084548228441e-08,-0.411594806097647,0.171,0.268,0.000176589176894262,7.99963296684749,"Down",NA
"Smarcb1",1.01282156269699e-08,-0.797011076552421,0.062,0.127,0.000178702236522256,7.9944670612163,"Down",NA
"A630089N07Rik",1.01749995966727e-08,-0.370493641153457,0.139,0.229,0.000179527692883694,7.99246559931776,"Down",NA
"Psma1",1.01799118572238e-08,-0.751079800747336,0.08,0.15,0.000179614364808856,7.99225598232215,"Down",NA
"Pld5",1.01990818754605e-08,-0.660881635603349,0.189,0.28,0.000179952600610625,7.99143892180356,"Down",NA
"Cpsf4",1.01997239225039e-08,-0.738217649810286,0.058,0.121,0.00017996392888866,7.99141158319453,"Down",NA
"Fam118a",1.0267602893735e-08,-0.757484736756273,0.057,0.12,0.00018116158545706,7.98853093629925,"Down",NA
"Zbbx",1.02788852962286e-08,-0.914814157377267,0.057,0.119,0.000181360652166657,7.98805398027711,"Down",NA
"Ube2j2",1.04412892929946e-08,-0.595040947193578,0.092,0.167,0.000184226108285596,7.98124587123209,"Down",NA
"Gab3",1.04498850635839e-08,-0.610199600101898,0.102,0.181,0.000184377772061874,7.98088848625396,"Down",NA
"Ubap2",1.04809521727472e-08,-0.412037134731864,0.168,0.266,0.000184925920135951,7.97959926080788,"Down",NA
"Gm45341",1.08189012177159e-08,-0.959404308401337,0.065,0.129,0.000190888693085379,7.96581684452652,"Down",NA
"Olfm1",1.09110717478045e-08,-0.460924051914453,0.138,0.227,0.000192514949918263,7.96213258843119,"Down",NA
"Lzts1",1.11654198296434e-08,-0.91827043588473,0.048,0.106,0.000197002667474227,7.95212494242958,"Down",NA
"Tcp11l1",1.120338239742e-08,-0.354228586790672,0.173,0.275,0.000197672479020078,7.95065084029701,"Down",NA
